Labels,Rainfall,Soil_Moisture,Evapo_Transpiration,Discharge
29-Aug-18,9.14,16.3728506,2.443937782,666.643
30-Aug-18,7.29,16.20732136,2.519242356,597.297
31-Aug-18,8.57,16.03361142,2.747078022,593.096
01-Sep-18,13.03,15.87038478,2.735427279,624.736
03-Sep-18,8.38,15.58879972,2.442033544,408.542
04-Sep-18,6,15.4391146,2.999893848,376.892
05-Sep-18,6.84,15.30277878,2.854181704,362.739
06-Sep-18,11.42,15.19315734,3.186099994,368.603
07-Sep-18,11.33,15.10721746,2.310860473,315.859
08-Sep-18,7.58,18.52258916,1.987352911,259.835
10-Sep-18,5.7,17.75680677,2.620832231,134.247
11-Sep-18,6.55,17.75187936,2.444484433,162.15
12-Sep-18,5.21,17.55254514,2.79128286,194.698
13-Sep-18,4.68,17.2198119,3.237920818,170.171
14-Sep-18,5.06,16.93591429,3.196520411,146.187
15-Sep-18,3.98,16.69211036,3.098016751,158.627
17-Sep-18,3.86,16.28438341,3.017969837,197.962
19-Sep-18,2.9,16.13393693,2.836181807,96.682
21-Sep-18,2.58,16.17533191,2.568653225,185.998
22-Sep-18,4.73,16.0096908,3.627143742,157.885
24-Sep-18,14.37,15.71687379,3.640273119,321.265
25-Sep-18,11.72,15.57169664,3.950397896,309.425
26-Sep-18,12.08,15.49232488,1.813529777,168.998
27-Sep-18,6.01,15.41745284,2.136203076,216.288
28-Sep-18,4.06,15.28419993,4.365998005,205.168
29-Sep-18,3.96,15.16674256,4.182418865,402.296
01-Oct-18,2.55,15.06935342,3.737977059,294.502
03-Oct-18,1.57,15.16121963,2.488555222,271.341
04-Oct-18,1.69,15.13329097,1.355845462,297.258
05-Oct-18,2.19,15.24614427,1.148432083,279.136
06-Oct-18,1.33,15.62561347,1.623210085,284.672
08-Oct-18,1.88,15.38295334,0.810839956,284.071
09-Oct-18,1.85,15.25914337,2.837309449,409.79
10-Oct-18,0.86,15.20530735,2.463714926,358.776
11-Oct-18,1.44,15.12132187,2.438179399,381.604
12-Oct-18,2.51,15.71277337,2.036646189,321.364
13-Oct-18,2.25,15.3990364,2.645420654,282.395
15-Oct-18,7.74,15.06603249,1.684477024,323.857
16-Oct-18,2.9,14.94547559,1.511556263,272.461
17-Oct-18,1.22,14.85683987,1.329871263,482.619
20-Oct-18,2.05,14.68335502,1.088331428,285.672
22-Oct-18,1.49,14.62074585,0.978136921,279.189
23-Oct-18,0.97,15.6515331,0.804745607,324.16
24-Oct-18,0.65,15.4938018,1.275397975,284.353
25-Oct-18,0.76,15.29805154,0.711037294,217.933
26-Oct-18,0.53,15.16118123,0.81175467,234.469
27-Oct-18,0.26,15.04218127,0.668014733,209.183
29-Oct-18,0.44,15.66467879,0.494686575,178.143
30-Oct-18,0.04,14.84725897,0.397175812,185.955
31-Oct-18,0.1,14.76410985,0.275067614,147.287
01-Nov-18,0.5,14.6912249,0.299010955,194.636
02-Nov-18,0.15,14.62001768,0.229201225,151.513
03-Nov-18,0.12,14.55502867,0.227760109,141.491
05-Nov-18,0.53,14.45175537,0.208700207,125.419
07-Nov-18,2.89,14.34115515,0.199647072,160.363
08-Nov-18,2.34,14.36495724,0.179310949,132.596
09-Nov-18,1.03,14.31002529,0.172990757,157.557
10-Nov-18,0.48,14.2789655,0.218263618,129.778
12-Nov-18,0.27,15.00464253,0.090750393,116.733
13-Nov-18,0.26,14.87205669,0.82805121,151.978
14-Nov-18,0.1,14.77271189,0.366192519,121.062
15-Nov-18,0.03,14.68061941,0.248492223,19.903
16-Nov-18,0,14.59661346,0.239782632,100.59
17-Nov-18,0.18,14.51902271,0.220346508,313.715
18-Nov-18,0.39,14.44992233,0.2087825,146.428
19-Nov-18,1.36,14.80336969,0.198047846,126.045
21-Nov-18,1.29,36.3447124,10.71835648,181.601
22-Nov-18,0.49,32.15776847,5.730928188,139.891
24-Nov-18,1.4,32.17650177,2.010203558,229.51
26-Nov-18,1.54,33.20380584,2.393147076,45.014
27-Nov-18,0.99,31.05207867,5.985908907,235.321
28-Nov-18,1.37,30.14640589,3.375021218,146.428
29-Nov-18,0.04,28.70689758,3.268205313,151.164
30-Nov-18,0.01,28.34534934,3.251626526,156.421
01-Dec-18,0,27.55903033,2.386934438,152.899
03-Dec-18,0.3,29.99324086,1.256580876,32.867
04-Dec-18,0.35,35.18560996,3.248500179,46.185
05-Dec-18,0.03,37.78990322,2.425728528,45.744
06-Dec-18,0.01,33.72485939,5.189392833,62.198
07-Dec-18,0.05,31.77881624,4.298008064,89.036
